#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;
aeroblst;Aero Blasters: Trouble Specialty Raid Unit (Jpn);Final Burn Alpha;;1991;Kaneko;;;;;;;;;;;;
aeroblst;Aero Blasters: Trouble Specialty Raid Unit (Jpn);Final Burn Alpha;;1991;Kaneko;;;;;;;;;;;;
afighter;Action Fighter, FD1089A 317-0018;Final Burn Alpha;;1986;Sega;Shooter / Misc. Vertical;;;;;0;;;;;;
afighter;Action Fighter, FD1089A 317-0018;Final Burn Alpha;;1986;Sega;Shooter / Misc. Vertical;;;;;;;;;;;
afighter;Action Fighter, FD1089A 317-0018;Final Burn Alpha;;1986;Sega;Shooter / Misc. Vertical;;;;;0;;;;;;
afighter;Action Fighter, FD1089A 317-0018;Final Burn Alpha;;1986;Sega;Shooter / Misc. Vertical;;;;;;;;;;;
airmanag;Air Management - Oozora ni Kakeru (Jpn);Final Burn Alpha;;1992;Koei;;;;;;0;;;;;;
airmanag;Air Management - Oozora ni Kakeru (Jpn);Final Burn Alpha;;1992;Koei;;;;;;;;;;;;
airmanag;Air Management - Oozora ni Kakeru (Jpn);Final Burn Alpha;;1992;Koei;;;;;;0;;;;;;
airmanag;Air Management - Oozora ni Kakeru (Jpn);Final Burn Alpha;;1992;Koei;;;;;;;;;;;;
airmang2;Air Management II - Koukuuou o Mezase (Jpn);Final Burn Alpha;;1994;Koei;;;;;;0;;;;;;
airmang2;Air Management II - Koukuuou o Mezase (Jpn);Final Burn Alpha;;1994;Koei;;;;;;;;;;;;
airmang2;Air Management II - Koukuuou o Mezase (Jpn);Final Burn Alpha;;1994;Koei;;;;;;0;;;;;;
airmang2;Air Management II - Koukuuou o Mezase (Jpn);Final Burn Alpha;;1994;Koei;;;;;;;;;;;;
akumajo;Akumajou Dracula - Vampire Killer (Jpn);Final Burn Alpha;;1994;Konami;;;;;;0;;;;;;
akumajo;Akumajou Dracula - Vampire Killer (Jpn);Final Burn Alpha;;1994;Konami;;;;;;;;;;;;
akumajo;Akumajou Dracula - Vampire Killer (Jpn);Final Burn Alpha;;1994;Konami;;;;;;0;;;;;;
akumajo;Akumajou Dracula - Vampire Killer (Jpn);Final Burn Alpha;;1994;Konami;;;;;;;;;;;;
aladdin2;Aladdin II;Final Burn Alpha;;199?;unlicensed;;;;;;0;;;;;;
aladdin2;Aladdin II;Final Burn Alpha;;199?;unlicensed;;;;;;;;;;;;
aladdin2;Aladdin II;Final Burn Alpha;;199?;unlicensed;;;;;;0;;;;;;
aladdin2;Aladdin II;Final Burn Alpha;;199?;unlicensed;;;;;;;;;;;;
albert odyssey;albert odyssey;Nintendo BS-X Satellaview;;;;;;;;;;;;;;;
albert odyssey;albert odyssey;Nintendo BS-X Satellaview;;;;;;;;;;;;;;;
alexkiddk;Alex Kidd - Cheongong Maseong (Kor);Final Burn Alpha;;1990;Samsung;;;;;;0;;;;;;
alexkiddk;Alex Kidd - Cheongong Maseong (Kor);Final Burn Alpha;;1990;Samsung;;;;;;;;;;;;
alexkiddk;Alex Kidd - Cheongong Maseong (Kor);Final Burn Alpha;;1990;Samsung;;;;;;0;;;;;;
alexkiddk;Alex Kidd - Cheongong Maseong (Kor);Final Burn Alpha;;1990;Samsung;;;;;;;;;;;;
alice;Fushigi no Yume no Alice;Final Burn Alpha;;1990;Face;;;;;;0;;;;;;
alice;Fushigi no Yume no Alice;Final Burn Alpha;;1990;Face;;;;;;;;;;;;
alice;Fushigi no Yume no Alice;Final Burn Alpha;;1990;Face;;;;;;0;;;;;;
alice;Fushigi no Yume no Alice;Final Burn Alpha;;1990;Face;;;;;;;;;;;;
amigo;Amigo [Bootleg];Final Burn Alpha;;1982;bootleg;Maze / Outline;;;;;0;;;;;;
amigo;Amigo [Bootleg];Final Burn Alpha;;1982;bootleg;Maze / Outline;;;;;;;;;;;
amigo;Amigo [Bootleg];Final Burn Alpha;;1982;bootleg;Maze / Outline;;;;;0;;;;;;
amigo;Amigo [Bootleg];Final Burn Alpha;;1982;bootleg;Maze / Outline;;;;;;;;;;;
ankoku;Ankoku Densetsu;Final Burn Alpha;;1990;Victor Interactive Software;;;;;;0;;;;;;
ankoku;Ankoku Densetsu;Final Burn Alpha;;1990;Victor Interactive Software;;;;;;;;;;;;
ankoku;Ankoku Densetsu;Final Burn Alpha;;1990;Victor Interactive Software;;;;;;0;;;;;;
ankoku;Ankoku Densetsu;Final Burn Alpha;;1990;Victor Interactive Software;;;;;;;;;;;;
aponow;Apocaljpse Now [Bootleg];Final Burn Alpha;;1982;bootleg;Shooter / Flying;;;;;0;;;;;;
aponow;Apocaljpse Now [Bootleg];Final Burn Alpha;;1982;bootleg;Shooter / Flying;;;;;;;;;;;
aponow;Apocaljpse Now [Bootleg];Final Burn Alpha;;1982;bootleg;Shooter / Flying;;;;;0;;;;;;
aponow;Apocaljpse Now [Bootleg];Final Burn Alpha;;1982;bootleg;Shooter / Flying;;;;;;;;;;;
appgateb;Appare! Gateball;Final Burn Alpha;;1988;Hudson;;;;;;0;;;;;;
appgateb;Appare! Gateball;Final Burn Alpha;;1988;Hudson;;;;;;;;;;;;
appgateb;Appare! Gateball;Final Burn Alpha;;1988;Hudson;;;;;;0;;;;;;
appgateb;Appare! Gateball;Final Burn Alpha;;1988;Hudson;;;;;;;;;;;;
aqrenk;Aq Renkan Awa (Chi);Final Burn Alpha;;1995;C&E;;;;;;0;;;;;;
aqrenk;Aq Renkan Awa (Chi);Final Burn Alpha;;1995;C&E;;;;;;;;;;;;
aqrenk;Aq Renkan Awa (Chi);Final Burn Alpha;;1995;C&E;;;;;;0;;;;;;
aqrenk;Aq Renkan Awa (Chi);Final Burn Alpha;;1995;C&E;;;;;;;;;;;;
aquagame;The Aquatic Games Starring James Pond and the Aquabats (Euro, USA);Final Burn Alpha;;1992;Electronic Arts;;;;;;0;;;;;;
aquagame;The Aquatic Games Starring James Pond and the Aquabats (Euro, USA);Final Burn Alpha;;1992;Electronic Arts;;;;;;;;;;;;
